City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,pahlgam,34.0333,75.3333,67.24,54,0,3.49,IN,1689302286
186,lerwick,60.1545,-1.1494,51.8,86,99,6.15,GB,1689302286
187,freetown,8.484,-13.2299,74.91,94,75,9.22,SL,1689302287
188,rosso,16.4986,-15.8153,78.94,77,73,16.84,SN,1689302287
189,san luis,-33.295,-66.3356,41.07,58,69,7.18,AR,1689302287
190,saveh,35.0213,50.3566,80.51,40,0,6.17,IR,1689302287
191,hithadhoo,-0.6,73.0833,82.76,75,94,7.96,MV,1689302287
192,saint-pierre,-21.3393,55.4781,69.57,100,75,6.91,RE,1689302287
193,richfield,44.8833,-93.283,80.55,61,100,4.61,US,1689302134
194,ray,23.6833,85.05,83.17,65,100,5.26,IN,1689302288
195,medvode,46.1333,14.4333,62.17,96,100,3.44,SI,1689302288
196,bikenibeu village,1.3673,173.1241,76.96,94,100,9.22,KI,1689302289
197,mount isa,-20.7333,139.5,76.77,47,0,11.5,AU,1689302289
198,kyshtovka,56.555,76.6271,78.66,64,56,3.11,RU,1689302290
199,jalai nur,49.45,117.7,71.38,68,100,20.29,CN,1689302290
200,katsuren-haebaru,26.3369,127.8719,90.37,64,75,13.8,JP,1689302290
201,la'ie,21.6477,-157.9253,87.76,62,80,5.01,US,1689302290
202,huanuni,-18.2667,-66.85,34.32,18,11,3.71,BO,1689302290
203,puerto berrio,6.4916,-74.4033,77.22,84,97,2.37,CO,1689302290
204,bayanhongor,46.7167,100.1167,61.45,53,5,3.62,MN,1689302290
205,castillos,-34.1667,-53.8333,48.85,65,99,12.03,UY,1689302291
206,awjilah,29.1081,21.2869,78.03,47,0,7.54,LY,1689302291
207,coronel dorrego,-38.7187,-61.2873,39.76,75,98,7.65,AR,1689302291
208,sao joao da barra,-21.6403,-41.0511,73.71,66,1,20.24,BR,1689302291
209,miyako,39.6367,141.9525,76.95,62,72,5.75,JP,1689302291
210,kushiro,42.975,144.3747,70.75,78,75,5.75,JP,1689302291
211,santa cruz de la palma,28.6835,-17.7642,78.94,41,0,16.11,ES,1689302292
212,bairnsdale,-37.8333,147.6167,65.05,43,100,1.01,AU,1689302292
213,kangding,30.0513,101.9603,57.96,99,100,5.08,CN,1689302292
214,tiksi,71.6872,128.8694,51.53,62,80,9.42,RU,1689302292
215,kapa'a,22.0752,-159.319,86.32,74,20,12.66,US,1689302292
216,agat village,13.3886,144.6585,88.74,75,40,13.8,GU,1689302293
217,hilo,19.7297,-155.09,86.29,69,40,10.36,US,1689302116
218,queenstown,-31.8976,26.8753,40.35,66,22,1.79,ZA,1689302293
219,ola,59.5833,151.2833,64.15,78,3,9.95,RU,1689301997
220,isafjordur,66.0755,-23.124,42.96,90,100,17.56,IS,1689302293
221,ulladulla,-35.35,150.4667,65.98,33,100,9.51,AU,1689302293
222,selfoss,63.9331,-20.9971,45.05,87,89,12.3,IS,1689302293
223,yabelo,4.8833,38.0833,55.47,82,76,12.06,ET,1689302294
224,bhuj,23.2667,69.6667,84.15,67,92,14.27,IN,1689302294
225,colonia,50.9333,6.95,63.95,74,0,2.3,DE,1689302049
226,hadibu,12.65,54.0333,77.58,80,44,23.33,YE,1689302294
227,aral,40.5156,81.2636,92.93,15,0,9.24,CN,1689302294
228,xianyang,34.3378,108.7026,79.84,61,0,11.18,CN,1689302294
229,petauke,-14.2426,31.3253,52.14,84,47,11.01,ZM,1689302294
230,san antonio de pale,-1.4014,5.6325,74.66,84,76,10.89,GQ,1689302295
231,gelibolu,40.4103,26.6708,73.26,59,0,2.62,TR,1689302295
232,keflavik,64.0049,-22.5624,48.63,71,75,33.38,IS,1689302295
233,katabu,-4.9333,122.5167,84.33,66,100,8.61,ID,1689302295
234,nizao,18.25,-70.2,82.47,82,81,10.07,DO,1689302295
235,flying fish cove,-10.4217,105.6791,78.48,73,100,13.8,CX,1689302295
236,yeppoon,-23.1333,150.7333,78.26,67,0,16.13,AU,1689302296
237,nova sintra,14.8667,-24.7167,73.94,84,72,3.13,CV,1689302296
238,grande prairie,55.1667,-118.8027,66.38,82,75,6.91,CA,1689302213
239,fairbanks,64.8378,-147.7164,72.61,46,100,6.91,US,1689302296
